nama,kategori,kecamatan,price_label,rating_avg,deskripsi,shortLink,is_kuesioner,photo_url,photo_source
"The Harvest Cakes, Kalimalang","Roti, Sweets, Kopi",Bekasi Selatan,>100rb,4.4,,https://gofood.link/u/ZVAqD,0,,
"Tahu Sumedang Bamboo, Ahmad Yani",Jajanan,Bekasi Selatan,10rb - 25rb,4.6,,https://gofood.link/u/8zO4B,0,,
"RM. Sate Dan Sop Kambing "" Mang Ujang "", Bekasi",Sate,Bekasi Utara,50rb - 100rb,4.6,,https://gofood.link/u/7LpLm,0,,
Warteg Krisma - Bekasi Barat,"Aneka nasi, Kopi, Minuman",Bekasi Barat,10rb - 25rb,0.0,,https://gofood.link/u/qeGpy,0,,
"Sate Senayan by Sate Khas Senayan, Grand Metropolitan Bekasi","Aneka nasi, Sate",Bekasi Selatan,50rb - 100rb,4.6,,https://gofood.link/u/xYB4Y,0,,
"Kopi Janji Jiwa & Jiwa Toast, GRAND Metropolitan Mall","Kopi, Minuman, Roti, Jajanan",Bekasi Selatan,25rb - 50rb,4.7,,https://gofood.link/u/D4me1,0,,
"A Fung Baso Sapi Asli, Grand Metland Bekasi",Bakso & soto,Bekasi Selatan,50rb - 100rb,4.7,A Fung Baso Sapi Asli menyajikan Baso Sapi Asli berkualitas dengan cita rasa yang khas sejak tahun 1973.-Taste the Difference-,https://gofood.link/u/GVKLM,0,,
"Thai Street, Grand Metropolitan Mall",Thailand,Bekasi Selatan,50rb - 100rb,4.4,,https://gofood.link/u/3NlJq,0,,
"Warung Tekko, Kalimalang","Ayam & bebek, Aneka nasi",Bekasi Selatan,50rb - 100rb,4.0,"Warung Tekko adalah restaurant keluarga yang menawarkan menu - menu traditional khas nusantara dengan cita rasa asli Indonesia.
Menu yang disediakan mulai dari daging, iga, ayam, seafood, sayuran dan aneka pilihan minuman hangat dan dingin.
Hampir semua menu dikombinasikan dengan sambal penyet khas tekko dengan level kepedasan mulai tidak pedas/manis, sedang, pedas, super pedas, sambal ijo hingga sambal gledek. ",https://gofood.link/u/bglZB,0,,
"YOSHINOYA BEEF BOWL, Grand Metropolitan Mall","Jepang, Cepat saji, Ayam & bebek, Aneka nasi",Bekasi Selatan,50rb - 100rb,4.8,,https://gofood.link/a/yM9SUto,0,https://api.jajanbekasi.web.id/foto/YOSHINOYA_BEEF_BOWL_Grand_Metropolitan_Mall.jpg,gofood_og
